Timestamp,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
5.091,4.838945,6.243531,15.208457,10.656082,-2.930512,2.775607,-6.177091,3.383564,4.272477,12.485681,-0.587435,19.0198,0.19269,0.700668,,0,0,
5.092,0.719056,3.649527,11.241157,9.191232,-4.029149,5.094952,-12.43322,-1.499268,7.629423,11.020831,-0.099152,19.874296,0.358428,0.817641,,0.012996,1.444517,
5.093,-4.163777,1.513288,1.170319,3.087692,-2.442229,5.461165,-14.874636,-4.703627,5.798361,-0.209682,-0.221223,13.282473,0,0,,0.038153,-0.036162,
5.094,-5.537073,1.513288,-7.679812,-4.236556,0.48747,3.141819,-12.43322,-5.771746,1.831061,-6.06908,-0.221223,1.075393,0,0,,0,0,
5.095,-3.248246,2.886584,-12.257465,-10.584237,4.149594,-1.008588,-7.397799,-6.229512,-2.441415,-5.580797,0.511202,-10.399262,0,0,,0,0,
5.096,-0.806829,3.039173,-10.121227,-8.386963,5.00409,-3.327933,-2.514967,-6.076923,-3.356946,-4.115948,1.853981,-15.160023,0,0,,0,0,
5.097,0.108702,1.513288,-1.576273,0.157993,2.196462,-3.450004,1.299745,-3.940684,0.305177,1.499309,2.708476,-14.305527,0,0,,0,0,
5.098,-0.959418,0.750345,4.527265,2.843551,-0.733238,-1.252729,3.283396,-0.125972,2.746592,7.602849,1.121556,-10.277191,0.16196,0.628095,,0,0,
5.099,-3.553423,1.665876,8.494565,3.575975,-3.418795,3.26389,4.351515,4.146506,0,6.626282,-2.174356,-5.394359,0.402469,0.420972,,0,0,
5.1,-4.316365,3.802115,6.358326,2.843551,-4.273291,6.681873,8.318816,7.350865,-5.188008,-2.406957,-3.761276,-4.295722,0.672078,0.447217,,0,0,
5.101,-0.654241,5.022823,0.865142,-0.086148,-2.198087,4.972881,13.812002,9.944869,-6.408715,-8.022213,-1.075718,-6.126784,0,0,,0,0,
5.102,5.296711,3.496938,-4.322866,-6.189688,1.341966,-0.154092,16.558595,10.402635,-7.629423,-9.975346,2.342264,-5.882642,0,0,,0,0,
5.103,8.806246,-1.080717,-8.900519,-10.095954,4.515807,-5.525207,12.286117,7.503453,-5.493184,-8.266355,3.440901,0.220898,0,0,,0,0,
5.104,7.890715,-5.658372,-7.984988,-5.945547,4.393736,-8.210765,-0.073551,2.468033,2.136238,-2.651098,1.976052,11.939694,0,0,,0,0,
5.105,2.244941,-5.963549,-4.017689,-1.306856,1.586108,-5.158995,-14.41687,-3.482919,10.070838,8.335274,0.389131,21.9495,0,0,,-0.038639,0.827664,
5.106,-4.621542,-2.454013,0.865142,1.134559,-1.831875,2.165253,-23.724769,-8.365751,12.512253,17.856796,-0.831577,24.635057,0,0,,0.066461,1.427145,
5.107,-9.046609,1.360699,4.832442,1.866984,-3.662937,7.902581,-24.487712,-9.891636,5.493184,14.927097,-2.90678,18.165305,0.757989,0.386344,,0.529161,2.717385,
5.108,-10.419905,1.818465,7.884211,3.575975,-3.907078,9.36743,-16.858286,-6.992454,-1.525885,3.2083,-2.90678,4.981659,0.495557,0.453562,,0,0,
