Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
0.2286986,0.2773243,0.895752,0.01329803,0.05979156,0.008835912,0.3363912,0.1237867,0.6026917,0.02785873,0.04276657,0.02585624,66.7501389980316,-14.845666475594,68.3811002350878,-70.9592923521996,-46.2238602340221,84.68687280836,0
0.2296886,0.2771043,0.5679321,0.04711914,0.0167923,0.008015871,0.1802747,0.05774212,0.5921326,0.01333618,0.004817963,0.02931437,29.5674372464418,82.966148853302,88.0773251232719,8.13662819564342,-22.5222911685705,23.9469897456029,0
0.1800928,0.1486788,0.4035645,0.04506683,0.0295105,0.04803288,0.1845947,0.05701232,0.2721863,0.07362747,0.04687119,0.02962436,-73.1246247887611,111.671961843967,133.483473930587,172.202602028847,-270.503968000412,320.665141307055,0
0.2339886,0.07144392,0.7330933,0.03189087,0.07128143,0.02059424,0.3582246,0.0587039,0.2731018,0.07435989,0.02157974,0.004050285,97.2337871789932,-43.501790612936,106.521430499696,-79.0172070264816,-272.279024124146,283.512937948629,0
0.02458668,0.06096435,1.222351,0.09056854,0.08946991,0.05859375,0.01647657,0.300055,0.02902222,0.04426956,0.01018143,0.004333377,73.1949359178543,-74.093721807003,104.15074774207,350.814938545227,1525.36797523499,1565.1896309965,0
0.02718892,0.06519055,0.07403564,0.09007263,0.001243591,0.07667667,0.3333114,0.1359797,0.3380432,0.09009933,0.001308441,0.01897404,-16.7971961200237,1216.61174297333,1216.72769301027,-3.87063273228705,266.532003879547,266.560107461329,0
0.8507696,0.5003601,0.8935547,0.003715515,0.1042023,0.00282228,0.1582181,0.133857,0.9964905,0.1569443,0.07121277,0.007525086,116.615436971188,4.15812851861119,116.689546116001,71.4635699987411,-157.497018575668,172.951879715687,0
0.03162672,0.1521268,0.5764771,0.01927185,0.002410889,0.03015375,0.1800349,0.2332795,0.5923767,0.120594,0.005245209,0.05307461,4.18210681527853,33.4303863346577,33.6909594386812,8.85451585054398,-203.57657968998,203.769051254645,0
0.4302704,0.5004131,0.5625,0.06174469,0.03014374,0.01924735,0.5231861,0.2440696,0.8960266,0.06200409,0.007015228,0.1199672,53.5888671875,-109.768338501453,122.150950973822,-7.8292628750205,69.1989362239838,69.6404346030174,0
0.03233676,0.150407,0.2503052,0.04359436,0.04627228,0.03082383,0.3534845,0.06210399,0.9114685,0.0751915,0.02089691,0.004570276,184.863448143005,-174.164831638336,253.98402122758,-22.9266416281462,-82.494892179966,85.6214817211759,0
0.2324685,0.06891394,0.5690308,0.03330994,0.01602936,0.01940417,0.3326409,0.4804568,0.3091125,0.0009269714,0.002338409,0.01787379,28.1695798039436,58.5380233824253,64.9632619859265,7.56491255015135,-2.99881538376212,8.13761608810134,0
0.1770908,0.1458488,0.4035645,0.04586029,0.05662537,0.08729553,0.1664584,0.04984045,0.2806702,0.0479393,0.01538467,0.02959535,140.313073992729,113.638080656528,180.558500516007,54.8140704631805,170.802980661392,179.382943792208,0
0.187273,0.2649618,0.4020386,0.1089478,0.05773163,0.00811708,0.1802747,0.05774212,0.5921326,0.01333618,0.004817963,0.02931437,143.597230315208,-270.988315343857,306.683601790348,8.13662819564342,-22.5222911685705,23.9469897456029,0
0.2334986,0.06807387,0.08380127,0.1557007,0.07092285,0.02031422,0.1653068,0.05202222,0.6080627,0.01456833,0.05934525,0.03855442,846.321940422058,-1857.97524452209,2041.64953801986,97.5972414016724,-23.958595469594,100.494954232001,0
0.2401786,0.1418374,0.07800293,0.01831818,0.01677704,0.008455753,0.1849345,0.1221378,0.03329468,0.09169388,0.005405426,0.05153437,-215.08215367794,-234.839588403702,318.449313254655,-162.351056933403,-2754.01020050049,2758.79141113425,0
0.2356985,0.06485319,0.5748901,0.03459167,0.01668549,0.03736591,0.3473076,0.4164295,0.8927307,0.07855988,0.0234108,0.06390589,29.0237814188004,60.1709298789501,66.8050947933152,-26.2238066643476,87.9995226860046,91.8237661443579,0
0.2332186,0.07001376,0.08215332,0.0324173,0.01593781,0.02016425,0.006906301,0.2327197,0.599823,0.000003814697,0.01038742,0.0194471,-194.000735878944,-394.595086574554,439.706229055664,-17.3174757510424,0.00635970491202897,17.3174769188178,0
0.02541672,0.06082416,0.07885742,0.03246307,0.001480103,0.05953383,0.1664584,0.04984045,0.2806702,0.0479393,0.01538467,0.02959535,-18.7693499028683,-411.667943000793,412.095600304445,54.8140704631805,170.802980661392,179.382943792208,0
0.2408686,0.1391672,0.07891846,0.1061249,0.01746368,0.008205771,0.1597267,0.04328203,0.6671448,0.1084976,0.02681732,0.03761442,-221.287697553635,1344.74086761475,1362.82656494576,40.1971563696861,-162.629798054695,167.523916488124,0
0.176623,0.1540596,0.07458496,0.01752472,0.01274872,0.008677006,0.1818463,0.05725384,0.6011047,0.01473999,0.006038666,0.03862157,170.928806066513,-234.963178634644,290.558689523165,10.0459456443787,-24.5214998722076,26.4995279179175,0
0.02535672,0.06239426,0.5715332,0.09108734,0.002250671,0.0590238,0.1617064,0.1237152,0.6042786,0.1498604,0.02591324,0.06016468,3.93795408308506,-159.373670816422,159.422314723697,-42.8829342126846,-247.998833656311,251.679096354028,0
0.2259586,0.4848927,0.569519,0.06248474,0.01660919,0.03616595,0.1523063,0.3069952,0.6595459,0.04400253,0.02601624,0.03742462,29.1635412722826,109.714925289154,113.524785711072,39.4456796348095,66.7164102196693,77.5051032800501,0
0.2294286,0.2793742,0.5699463,0.07578278,0.01651764,0.008495867,0.5000839,0.318927,1.289551,0.07849503,0.1429901,0.03628364,28.9810448884964,-132.96477496624,136.086488472044,110.883660614491,-60.8700551092625,126.492489106169,0
0.0331068,0.1489768,0.4006348,0.04412079,0.04094696,0.03125381,0.1648868,0.04935217,0.2896423,0.04655075,0.01660538,0.03834441,102.205209434032,110.127210617065,150.246155870125,57.3306307196617,160.71805357933,170.637317035409,0
0.2294486,0.2784241,0.2445679,0.01420593,0.05970001,0.008075833,0.501334,0.3165669,0.6521912,0.1649208,0.05702591,0.03668365,244.104072451591,-58.0858513712883,250.919836435821,87.4374136328697,252.871870994568,267.562113243073,0
