Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
0.2342893,1.485711,2.097107,0.3279572,0.05866241,0.01364252,109.5605,22.04874,782.5095,32.80788,115.3566,5.950125,27.9730204492807,156.385511159897,158.867611468789,147.418782114983,41.9264882802963,153.264894022677
0.005800217,0.2218027,1.117065,0.1066666,0.0905304,0.05201337,108.1268,22.93358,787.083,33.93146,116.5154,6.108655,-81.0430571436882,95.4881981015205,125.243654880678,148.03446829319,43.1103929877281,154.184012745822
0.02668034,0.826998,0.5042114,0.003822327,0.04966736,0.1350134,106.8797,24.33924,791.6632,34.88757,117.7758,6.209385,98.5050201416016,7.58080137893558,98.7962931624674,148.770034313202,44.068705290556,155.159833383312
0.03725238,1.035787,1.441772,0.112236,0.03753662,0.02763715,106.829,24.47066,798.713,35.58835,118.8883,6.211705,26.03505179286,-77.8458639979362,82.0841182168761,148.849800229073,44.5571169257164,155.375672796506
0.4179812,0.4223797,0.7922974,0.1549606,0.01698303,0.07999399,107.3217,24.25598,802.8442,35.90307,119.6596,6.210632,-21.4351750910282,195.583924651146,196.755021062051,149.044588208199,44.7198450565338,155.608977298972
0.2208394,0.8562727,2.419312,0.3104172,0.1590576,0.04167268,108.516,23.1536,805.6666,36.05132,120.0669,6.172296,-65.7449886202812,128.308057785034,144.171291251929,149.028033018112,44.7471961379051,155.600983889729
0.2209094,0.8518327,0.4731445,0.1875305,0.07436371,0.04100268,109.3732,22.58861,807.8388,35.91752,120.185,6.137551,-157.169118523598,396.349340677261,426.374168627491,148.773550987244,44.4612428545952,155.275148010006
0.6090508,0.2140797,0.7872314,0.07605743,0.08307648,0.0114632,110.0733,21.3532,806.1639,35.61,119.943,5.963418,105.529926717281,96.6138169169426,143.076186181402,148.782402276993,44.1721566021442,155.201103882019
0.1745794,0.8342983,1.10968,0.05721283,0.008499146,0.01698735,111.4618,20.25449,807.3654,35.21695,119.8109,5.855644,7.65909487381577,51.5579469501972,52.1237338264006,148.397371172905,43.6195954680443,154.675301453803
0.1918617,0.2088321,0.1882324,0.1358185,0.07823944,0.09012489,112.8569,19.16553,807.2612,34.71071,119.3347,5.661348,415.653377771378,-721.546709537506,832.704860378008,147.826686501503,42.9981164634228,153.953133327697
0.2098794,0.4286832,1.122864,0.02985382,0.01223755,0.0411925,113.9126,18.2739,805.5978,34.24738,118.9566,5.534165,10.8985165134072,-26.5872161835432,28.7342605017681,147.662490606308,42.5117611885071,153.660212714309
0.4180212,0.4229997,0.4672852,0.2169342,0.06093597,0.079904,115.3018,17.01066,805.5017,33.9977,118.7359,5.358696,-130.404263734818,464.243739843369,482.211076173056,147.406086325645,42.2068573534489,153.329622361428
0.2139094,0.6393635,0.7941284,0.1396561,0.03125,0.01247266,116.18,16.98929,805.1423,33.94044,118.6837,5.348475,-39.3513180315495,175.860807299614,180.209738290948,147.407114505768,42.1545840799809,153.31622994932
0.1999794,0.008563519,0.144104,0.06064606,0.03283691,0.03987256,117.393,16.77912,806.0457,33.8967,118.6637,5.427446,-227.869540452957,420.849204063416,478.579753047548,147.217020392418,42.0530699193478,153.105557648516
