Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
121.2171,74.76623,653.6536,6.637745,75.21901,5.813782,0.08944902,0.176259,1.020538,0.04636383,0.02922821,0.08531366,115.07473140955,10.1548358798027,115.521922165127,-28.6399926990271,-45.4307571053505,53.7047751411891,0
121.1416,77.92291,652.3477,5.622906,75.38797,6.082873,0.4403016,0.182514,0.6822815,0.01746368,0.04263306,0.03869624,115.564092993736,8.61949194222689,115.885094946706,62.4860227108002,25.59600956738,67.5252452049457,0
120.4809,79.59805,646.8265,4.562904,75.20939,6.420783,0.07768577,0.01431036,0.2546692,0.05773544,0.03842163,0.09556568,116.274431347847,7.0542935281992,116.488224479761,-150.868788361549,226.707607507706,272.319170466477,0
120.0542,80.22449,641.9629,3.679268,75.13403,6.688833,0.2493237,0.01916027,0.565033,0.002727509,0.06534576,0.06151438,117.037959396839,5.73127809911966,117.178203981908,-115.649476647377,-4.82716737315059,115.750174918488,0
118.7948,81.03744,634.8304,2.992702,74.78126,6.794754,0.2434223,0.02602816,1.193939,0.1190262,0.0663681,0.005885392,117.797210812569,4.71417605876923,117.891502370331,-55.5875077843666,99.6919944882393,114.142300602012,0
118.5889,81.26244,626.7082,2.324245,74.10999,6.945723,0.06828934,0.3677459,0.5565186,0.1505165,0.002300262,0.02802566,118.252791464329,3.70865664444864,118.31093281355,4.13330784067512,270.460903644562,270.492485355765,0
118.4126,80.42942,619.8939,1.953659,73.44267,6.931322,0.07683557,0.1859202,0.07437134,0.01470566,0.002876282,0.1184357,118.476204574108,3.15160257741809,118.51811527818,-38.6746004223824,-197.732865810394,201.479554643697,0
118.6476,79.59616,615.6825,1.835197,73.41284,6.915182,0.07888946,0.1637714,0.06149292,0.1031265,0.08110809,0.004965916,119.238153100014,2.98075308091938,119.275404185573,1318.98260116577,-1677.04713344574,2133.58903961766,0
120.1524,77.74428,617.9597,1.768494,74.08717,6.845332,0.4111066,0.3818803,1.809692,0.09088516,0.05136871,0.07309689,119.889974594116,2.86182668060064,119.924126263766,-28.3853281289339,-50.2213314175606,57.6880315346234,0
122.4431,77.37354,627.0486,1.748615,75.38518,6.936703,15.82544,17.46709,56.37779,5.657906,6.063339,3.937128,120.222225785255,2.78864405117929,120.254563773709,107.548363506794,-100.356988608837,147.099203449998,0
124.4231,80.76876,638.0602,1.992535,76.83424,7.263282,2.922948,30.02918,95.46173,8.080444,9.431107,3.052832,120.41848897934,3.12280049547553,120.458973808521,98.7946316599846,-84.6459046006203,130.097303624977,0
125.7862,83.94271,641.5929,2.898083,77.23212,7.581773,29.6581,25.28264,109.1664,8.611427,9.918304,5.005306,120.375581085682,4.51701181009412,120.460300171501,90.8548831939697,-78.8834616541862,120.321279592337,0
126.5767,85.63795,638.3036,5.364635,76.06102,6.998524,37.51332,6.462413,209.9504,15.20555,19.64075,2.973825,119.161196053028,8.40452034026384,119.457216638168,93.5494527220726,-72.4244639277458,118.30808543722,0
126.99,77.87926,630.1885,9.205322,74.03358,5.345562,43.78575,13.30053,264.42,17.20472,24.60316,0.6273584,117.478482425213,14.6072525531054,118.383130808748,93.0457562208176,-65.0658905506134,113.538904626776,0
125.6233,66.33158,610.6741,13.93045,70.35262,3.513363,56.52235,27.87648,354.7554,21.57584,33.38221,0.1974667,115.204848349094,22.8116009384394,117.441586418579,94.0992161631584,-60.8189292252064,112.042869628645,0
123.2265,54.14473,587.2507,18.60157,66.33555,1.785922,80.22928,8.80607,449.0601,26.98452,42.18291,3.342776,112.959496676922,31.6756814718246,117.316651359507,93.935988843441,-60.091108083725,111.511933310857,0
117.8423,45.03101,559.9377,22.9909,61.84388,0.02157766,100.4501,9.954206,537.4965,31.02217,50.97467,6.197473,110.447786748409,41.0597436130047,117.833001078593,94.8372185230255,-57.7160455286503,111.019097134904,0
105.9551,37.42968,521.2837,26.55045,56.58051,1.105028,112.326,11.53917,611.233,32.04202,58.92673,6.940704,108.540713787079,50.9328134357929,119.896780748667,96.4063331484795,-52.4219460785389,109.737147319387,0
